year,region,variable,estimate,moe
2014,Portland (Multnomah Co),bicycle,0.05932934040361652,0.00754587418456491
2014,Portland (Multnomah Co),carpool,0.09774793677437404,0.00974580042981218
2014,Portland (Multnomah Co),drove_alone,0.5955518254301301,0.01576317094571396
2014,Portland (Multnomah Co),other,0.007726446165388675,0.0026628009003166367
2014,Portland (Multnomah Co),public_transit,0.11107465761263495,0.00838006587062399
2014,Portland (Multnomah Co),taxi_or_ride_share,0.004903419422932641,0.0018616716896196544
2014,Portland (Multnomah Co),total,1,0.01686949223667646
2014,Portland (Multnomah Co),walked,0.049898905123412045,0.006917687152685054
2014,Portland (Multnomah Co),work_from_home,0.07376746906751103,0.006910057350678417
2015,Portland (Multnomah Co),bicycle,0.057511774226917035,0.006031324919983936
2015,Portland (Multnomah Co),carpool,0.08733007995521534,0.009626267174550632
2015,Portland (Multnomah Co),drove_alone,0.5989582699492522,0.017410035170558957
2015,Portland (Multnomah Co),other,0.006924584099013034,0.002735758357571406
2015,Portland (Multnomah Co),public_transit,0.12375412250063891,0.010010831071789317
2015,Portland (Multnomah Co),taxi_or_ride_share,0.004519842766912901,0.0014798408197539278
2015,Portland (Multnomah Co),total,1,0.014121770454296528
2015,Portland (Multnomah Co),walked,0.05407260469021918,0.007528203380754768
2015,Portland (Multnomah Co),work_from_home,0.06622531063270497,0.006467001740273332
2016,Portland (Multnomah Co),bicycle,0.05217897717932942,0.0057627007199853465
2016,Portland (Multnomah Co),carpool,0.08661193588232255,0.007897295240957914
2016,Portland (Multnomah Co),drove_alone,0.6117996815720385,0.014484245330427718
2016,Portland (Multnomah Co),other,0.0062887174116221505,0.0022614021162778684
2016,Portland (Multnomah Co),public_transit,0.11558277483197994,0.00862526476956242
2016,Portland (Multnomah Co),taxi_or_ride_share,0.0018011375110956647,9.792364304131579e-4
2016,Portland (Multnomah Co),total,1,0.016275989686315582
2016,Portland (Multnomah Co),walked,0.05114807839527336,0.005328267291624593
2016,Portland (Multnomah Co),work_from_home,0.0740227596150685,0.006800644370447255
2017,Portland (Multnomah Co),bicycle,0.05391649493110555,0.00510585995619588
2017,Portland (Multnomah Co),carpool,0.09442606437542164,0.010093892374941087
2017,Portland (Multnomah Co),drove_alone,0.5940009611030506,0.017436165198828193
2017,Portland (Multnomah Co),other,0.007702686467853876,0.002564481697455849
2017,Portland (Multnomah Co),public_transit,0.11591457272500438,0.009694202885157427
2017,Portland (Multnomah Co),taxi_or_ride_share,0.004144756905617832,0.0013353787577743072
2017,Portland (Multnomah Co),total,1,0.01594137271391474
2017,Portland (Multnomah Co),walked,0.05014370338881239,0.005822066556386253
2017,Portland (Multnomah Co),work_from_home,0.07835300206082674,0.006713859290816845
2018,Portland (Multnomah Co),bicycle,0.04494739697406502,0.005718743624979544
2018,Portland (Multnomah Co),carpool,0.08348334480369982,0.009471458963362827
2018,Portland (Multnomah Co),drove_alone,0.6108003775132993,0.015367302057716492
2018,Portland (Multnomah Co),other,0.005716501859544428,0.0016499393602449801
2018,Portland (Multnomah Co),public_transit,0.11004153991351269,0.007971717887270583
2018,Portland (Multnomah Co),taxi_or_ride_share,0.0017351264467793677,9.617173716645333e-4
2018,Portland (Multnomah Co),total,1,0.012961887745837602
2018,Portland (Multnomah Co),walked,0.05067510766078502,0.006732021601651733
2018,Portland (Multnomah Co),work_from_home,0.08872235062556465,0.007852904319209464
2019,Portland (Multnomah Co),bicycle,0.04316716730230517,0.005373114178676297
2019,Portland (Multnomah Co),carpool,0.08759211133236582,0.009990212292011205
2019,Portland (Multnomah Co),drove_alone,0.5938731198037959,0.01652885123808881
2019,Portland (Multnomah Co),other,0.009348948665159135,0.0029858134485357814
2019,Portland (Multnomah Co),public_transit,0.12043380921844589,0.010503223193492861
2019,Portland (Multnomah Co),taxi_or_ride_share,0.0024435519254784165,0.0014827815091070684
2019,Portland (Multnomah Co),total,1,0.014260803042064644
2019,Portland (Multnomah Co),walked,0.05580343582301124,0.005823123741379504
2019,Portland (Multnomah Co),work_from_home,0.08566607040399608,0.00738690697177315
2021,Portland (Multnomah Co),bicycle,0.02406634327762464,0.00376843716688659
2021,Portland (Multnomah Co),carpool,0.06998727418726197,0.00947157353970125
2021,Portland (Multnomah Co),drove_alone,0.4981216512563805,0.018694265870872917
2021,Portland (Multnomah Co),other,0.008879893685461111,0.002967791014918785
2021,Portland (Multnomah Co),public_transit,0.04016613994637314,0.006177419430578578
2021,Portland (Multnomah Co),taxi_or_ride_share,0.0018994801669852033,9.274346921621202e-4
2021,Portland (Multnomah Co),total,1,0.013338624015627862
2021,Portland (Multnomah Co),walked,0.03444891595798134,0.004806224847736355
2021,Portland (Multnomah Co),work_from_home,0.3212023310307908,0.01541889524918644
2022,Portland (Multnomah Co),bicycle,0.026822888134107593,0.004273036046893832
2022,Portland (Multnomah Co),carpool,0.0708292246448267,0.008527811255980424
2022,Portland (Multnomah Co),drove_alone,0.5241362623717176,0.01576823344655053
2022,Portland (Multnomah Co),other,0.011997370439355757,0.003567711186589241
2022,Portland (Multnomah Co),public_transit,0.056978379168036226,0.007539443409663635
2022,Portland (Multnomah Co),taxi_or_ride_share,0.0010203243124794566,6.824988130455425e-4
2022,Portland (Multnomah Co),total,1,0.013871388919323619
2022,Portland (Multnomah Co),walked,0.048685676198824,0.005971293962967021
2022,Portland (Multnomah Co),work_from_home,0.25816487710456154,0.01481410467112231
2023,Portland (Multnomah Co),bicycle,0.03204038015551817,0.0050702560138238375
2023,Portland (Multnomah Co),carpool,0.08570324223545996,0.011179573461870766
2023,Portland (Multnomah Co),drove_alone,0.5304465463144014,0.01702287299349734
2023,Portland (Multnomah Co),other,0.010301941703424128,0.0030148697194306764
2023,Portland (Multnomah Co),public_transit,0.05656859624391797,0.007573552817061525
2023,Portland (Multnomah Co),taxi_or_ride_share,0.0021713428220635714,0.0012868900914010278
2023,Portland (Multnomah Co),total,1,0.013566913737438043
2023,Portland (Multnomah Co),walked,0.04518894093038061,0.005686417170660725
2023,Portland (Multnomah Co),work_from_home,0.23556454913373653,0.010772588786321678
2024,Portland (Multnomah Co),bicycle,0.02680574402273485,0.004520927852479315
2024,Portland (Multnomah Co),carpool,0.07777869155804104,0.008326822648957606
2024,Portland (Multnomah Co),drove_alone,0.5490174577719296,0.01676101447884827
2024,Portland (Multnomah Co),other,0.009306851981304055,0.003125128500349521
2024,Portland (Multnomah Co),public_transit,0.06692069757985297,0.009861973491234563
2024,Portland (Multnomah Co),taxi_or_ride_share,8.521000954900375e-4,5.848193684864601e-4
2024,Portland (Multnomah Co),total,1,0.013642739330473202
2024,Portland (Multnomah Co),walked,0.03886307459645179,0.006627191359293831
2024,Portland (Multnomah Co),work_from_home,0.2256054936469427,0.012390860369806873
2014,Seattle (King Co),bicycle,0.017204008132603033,0.0024684972079842354
2014,Seattle (King Co),carpool,0.09005780995884917,0.0038776207073965637
2014,Seattle (King Co),drove_alone,0.6371226268786396,0.008474069274388835
2014,Seattle (King Co),other,0.007267432495989382,0.0014376557191914153
2014,Seattle (King Co),public_transit,0.1325873845250444,0.0059273385605587165
2014,Seattle (King Co),taxi_or_ride_share,0.0031330218105810356,9.461652236419813e-4
2014,Seattle (King Co),total,1,0.0093447621747442
2014,Seattle (King Co),walked,0.04763316032990609,0.004172146847051655
2014,Seattle (King Co),work_from_home,0.06417816622503085,0.004440901949486926
2015,Seattle (King Co),bicycle,0.01774020534759743,0.0022038136496179066
2015,Seattle (King Co),carpool,0.08967750230856449,0.00590560915980841
2015,Seattle (King Co),drove_alone,0.6389126414023844,0.009970660775443887
2015,Seattle (King Co),other,0.007349642093829771,0.001453923570555755
2015,Seattle (King Co),public_transit,0.1263915451242309,0.005487504979036347
2015,Seattle (King Co),taxi_or_ride_share,0.0046908591636297915,9.512994048534253e-4
2015,Seattle (King Co),total,1,0.007168014041107284
2015,Seattle (King Co),walked,0.05158776186584161,0.0041675545760828225
2015,Seattle (King Co),work_from_home,0.06291883473915244,0.004282645619392122
2016,Seattle (King Co),bicycle,0.016128175174597036,0.0018380927740304497
2016,Seattle (King Co),carpool,0.09019721602991125,0.005252066983236768
2016,Seattle (King Co),drove_alone,0.6246205122442242,0.008484845317088426
2016,Seattle (King Co),other,0.00660232470823544,0.0012901494778858275
2016,Seattle (King Co),public_transit,0.13080861272779065,0.005918484505574822
2016,Seattle (King Co),taxi_or_ride_share,0.0030158659638357425,8.955257685797641e-4
2016,Seattle (King Co),total,1,0.009626030878216335
2016,Seattle (King Co),walked,0.05570379352730003,0.004749422655930811
2016,Seattle (King Co),work_from_home,0.07098958210830113,0.003740649465254384
2017,Seattle (King Co),bicycle,0.01276380456779416,0.0020764246722106013
2017,Seattle (King Co),carpool,0.10635086645239189,0.00643419553424145
2017,Seattle (King Co),drove_alone,0.6114177848068976,0.010606601703994694
2017,Seattle (King Co),other,0.005839838103498121,0.0012592894920327195
2017,Seattle (King Co),public_transit,0.1373229257010697,0.005799874156080472
2017,Seattle (King Co),taxi_or_ride_share,0.0021971668112171147,5.833035729469585e-4
2017,Seattle (King Co),total,1,0.007410336207336361
2017,Seattle (King Co),walked,0.05226944203527031,0.004323758991888169
2017,Seattle (King Co),work_from_home,0.06972943557301499,0.004304202166556128
2018,Seattle (King Co),bicycle,0.016679194165214302,0.0021921745810171227
2018,Seattle (King Co),carpool,0.09489208454822537,0.005749708838907382
2018,Seattle (King Co),drove_alone,0.6003741729785986,0.009635160696143457
2018,Seattle (King Co),other,0.0067747610827062705,0.0012720229294522867
2018,Seattle (King Co),public_transit,0.14553429092981574,0.006091668249812087
2018,Seattle (King Co),taxi_or_ride_share,0.002951258394112351,7.02090577944444e-4
2018,Seattle (King Co),total,1,0.008770350301898948
2018,Seattle (King Co),walked,0.05693624191563349,0.003925099325167056
2018,Seattle (King Co),work_from_home,0.07150338242460787,0.004528897222199278
2019,Seattle (King Co),bicycle,0.017149339007379964,0.002216323832847481
2019,Seattle (King Co),carpool,0.09622935127645922,0.006057254093114583
2019,Seattle (King Co),drove_alone,0.6024085716102845,0.009865982045603298
2019,Seattle (King Co),other,0.006686004152487588,0.0012494495418014131
2019,Seattle (King Co),public_transit,0.14891071668651135,0.006612743902291758
2019,Seattle (King Co),taxi_or_ride_share,0.0024336894103515927,6.609523671513919e-4
2019,Seattle (King Co),total,1,0.010022163238328476
2019,Seattle (King Co),walked,0.05198499050434449,0.0039616889144360535
2019,Seattle (King Co),work_from_home,0.07182322221121977,0.004229773126691125
2021,Seattle (King Co),bicycle,0.009326287822077386,0.0015488708163744554
2021,Seattle (King Co),carpool,0.053465291135999675,0.004755974427947835
2021,Seattle (King Co),drove_alone,0.4634073971086049,0.00932289675296655
2021,Seattle (King Co),other,0.011338887339358698,0.0019320616258989513
2021,Seattle (King Co),public_transit,0.04016890915241075,0.0036013153957080934
2021,Seattle (King Co),taxi_or_ride_share,0.0010529269589146543,5.408755231783813e-4
2021,Seattle (King Co),total,1,0.010207965790894809
2021,Seattle (King Co),walked,0.036665086993639205,0.004283768054263888
2021,Seattle (King Co),work_from_home,0.38337053618737016,0.0089159684596662
2022,Seattle (King Co),bicycle,0.0110146251178957,0.001891978896972269
2022,Seattle (King Co),carpool,0.06569483227546567,0.004669032783274423
2022,Seattle (King Co),drove_alone,0.5066574259566595,0.009252543279521528
2022,Seattle (King Co),other,0.00749852958143295,0.0016249234535190404
2022,Seattle (King Co),public_transit,0.06329617416855797,0.004376159290907286
2022,Seattle (King Co),taxi_or_ride_share,9.79472230671358e-4,3.792025934230134e-4
2022,Seattle (King Co),total,1,0.008054424447110516
2022,Seattle (King Co),walked,0.03870448257806127,0.00327163088580919
2022,Seattle (King Co),work_from_home,0.304618284180878,0.006556977610103893
2023,Seattle (King Co),bicycle,0.01229773204753571,0.001982116303823507
2023,Seattle (King Co),carpool,0.07723954824332352,0.006686253951674952
2023,Seattle (King Co),drove_alone,0.5317150568283747,0.00967936119405365
2023,Seattle (King Co),other,0.00982207994642067,0.0016440562423507932
2023,Seattle (King Co),public_transit,0.08029564309149548,0.005031832660269571
2023,Seattle (King Co),taxi_or_ride_share,0.0012605494273310398,5.916051075772496e-4
2023,Seattle (King Co),total,1,0.006963718341751614
2023,Seattle (King Co),walked,0.045132612829538794,0.0042648190302300645
2023,Seattle (King Co),work_from_home,0.24007845544822856,0.007845544822857325
2024,Seattle (King Co),bicycle,0.014253454873572817,0.002564667945872996
2024,Seattle (King Co),carpool,0.08311713495314008,0.006697849275715879
2024,Seattle (King Co),drove_alone,0.5398133422158419,0.010199246550599804
2024,Seattle (King Co),other,0.007451611440295625,0.0016412311031668958
2024,Seattle (King Co),public_transit,0.08477635000836645,0.00497529943280179
2024,Seattle (King Co),taxi_or_ride_share,0.0014950137538137706,5.629758905574869e-4
2024,Seattle (King Co),total,1,0.0092242035845926
2024,Seattle (King Co),walked,0.055215424288343744,0.004020586151731386
2024,Seattle (King Co),work_from_home,0.21163436592494594,0.007647871091031638
